title,views,likes,comments,upload time
Was Fridays For Future bisher erreicht hat | #analyse,379694,18577,4829,2019-10-02T13:00:10Z
'Fridays For Future hat auch beunruhigende Tendenzen angenommen' | Philipp Möller im Interview,83149,1304,632,2019-10-01T13:59:47Z
Schockiert vom Hass: Warum Fridays for Hubraum dicht machte,69918,749,797,2019-09-27T14:12:03Z
FRIDAYS FOR FUTURE: Greta fast allein in New York,61758,412,0,2019-08-31T11:56:14Z
Fridays for Future: unterwandert von Linksextremen,54535,6874,555,2019-10-08T13:10:27Z
FRIDAYS FOR FUTURE: UN-Klima-Gipfel - Greta Thunberg hat nun ein Problem,46381,294,0,2019-11-01T21:53:48Z
FRIDAYS FOR FUTURE: Greta Thunberg in New York eingetroffen,40543,316,0,2019-08-28T21:00:24Z
Fridays For Future: Proteste in Aachen und am Tagebau Garzweiler,35431,1086,845,2019-06-21T10:30:00Z
Fridays for Future-Sommerkongress: Planen für die Zukunft,33551,1180,685,2019-08-01T13:35:55Z
Erneut weltweite Klimaproteste von Fridays for Future,29973,973,740,2019-11-29T11:45:01Z
Fridays For Future: Klima retten um jeden Preis? | Auf den Punkt,28198,191,337,2019-09-24T15:21:55Z
Fridays for Future stellt neuen Demo-Rekord in Freiburg auf,25654,464,964,2019-09-20T15:41:45Z
FRIDAYS FOR FUTURE: Junge Klimaschützer stürmen voran - Politik stolpert hinterher,21957,201,0,2019-09-20T11:40:29Z
FRIDAYS FOR FUTURE: Greta Thunberg mit Alternativen Nobelpreis geehrt,21407,208,0,2019-09-25T11:21:55Z
FRIDAYS FOR FUTURE: Greta Thunberg auf Weg in die USA ist im Zeitplan,20414,144,0,2019-08-22T10:23:23Z
"Fridays For Future: la foto del cestino pieno di rifiuti è una bufala, ecco perchè",20326,609,74,2019-09-28T15:04:36Z
Wie geht es weiter mit „Fridays for Future“? - LIVE vom Sommercamp,15814,380,389,2019-08-03T14:28:04Z
FRIDAYS FOR FUTURE: Bei jungen Klima-Aktivisten hängt der Haussegen schief,13465,154,0,2019-08-09T11:15:11Z
FRIDAYS FOR FUTURE: Greta Thunberg geht ein Jahr lang nicht zur Schule,12229,202,0,2019-06-01T19:14:48Z
FRIDAYS FOR FUTURE: Tausende Schüler treffen sich in Aachen zur Klimademo,12144,146,0,2019-06-21T11:14:42Z
FRIDAYS FOR FUTURE: Weltweite Klimaproteste - Politik reagiert zögerlich,8771,123,0,2019-09-21T07:14:37Z
WELT THEMA:  Fridays for Future - Mega-Demo für Wende in der Klimapolitik,6897,139,0,2019-06-21T09:10:55Z
Debatte um Klimaschutz: Fridays for Future Aktivisten bei Umweltministerkonferenz,5445,105,66,2019-11-15T13:50:33Z
Klima retten fordert Opfer... | Fridays For Future,5093,367,181,2019-12-29T17:00:02Z
Fridays for Future – Kinder als Instrument zur Manipulation (Valeriy Pyakin 2019.09.23),4856,185,40,2019-10-01T18:03:36Z
FRIDAYS FOR FUTURE - DEMO AACHEN - #schoolstrike4climate #fridaysforfuture #ac2106 - SHORTFILM,4476,310,207,2019-06-15T11:00:01Z
